# Wavelength Flux
8558.7500000000 2367.3290774654
8559.0000000000 2263.5949850266
8559.2500000000 2253.9186792679
8559.5000000000 2356.8503445644
8559.7500000000 2456.0970921593
8560.0000000000 2501.5800000000
8560.2500000000 2513.3513105758
8560.5000000000 2516.5250648305
8560.7500000000 2517.2499609050
8561.0000000000 2519.8150930968
8561.2500000000 2516.1082633603
8561.5000000000 2509.1720705876
8561.7500000000 2486.7784661227
8562.0000000000 2459.6812202501
8562.2500000000 2460.0685374167
8562.5000000000 2486.5644624737
8562.7500000000 2509.0413275517
8563.0000000000 2513.3589733956
8563.2500000000 2508.3645693370
8563.5000000000 2503.8147045746
8563.7500000000 2504.5669443891
8564.0000000000 2506.5027036034
8564.2500000000 2513.1010058511
8564.5000000000 2516.6578974969
8564.7500000000 2519.4605616510
8565.0000000000 2522.5724208584
8565.2500000000 2526.3327210279
8565.5000000000 2525.3345481677
8565.7500000000 2522.0012583748
8566.0000000000 2513.1037322595
8566.2500000000 2510.7986511769
8566.5000000000 2513.1298102024
8566.7500000000 2516.5602225162
8567.0000000000 2515.2345164660
8567.2500000000 2510.5230521735
8567.5000000000 2506.7032840767
8567.7500000000 2501.5333102663
8568.0000000000 2504.5616941648
8568.2500000000 2514.1553996496
8568.5000000000 2521.8437911613
8568.7500000000 2524.8026783860
8569.0000000000 2522.5185742398
8569.2500000000 2513.1733855383
8569.5000000000 2511.2387275484
8569.7500000000 2502.9494152341
8570.0000000000 2497.9688586918
8570.2500000000 2499.2711033073
8570.5000000000 2511.8841625009
8570.7500000000 2518.7555612025
8571.0000000000 2515.0446360145
8571.2500000000 2512.0732087211
8571.5000000000 2506.8469601343
8571.7500000000 2506.9532337559
8572.0000000000 2508.1894846575
8572.2500000000 2513.2558891096
8572.5000000000 2520.3438032824
8572.7500000000 2520.5064448251
8573.0000000000 2520.3958544445
8573.2500000000 2516.4274515930
8573.5000000000 2508.3266052954
8573.7500000000 2486.6892126669
8574.0000000000 2462.9150088492
8574.2500000000 2461.3597679189
8574.5000000000 2488.4705051063
8574.7500000000 2515.5623610878
8575.0000000000 2524.1337162247
8575.2500000000 2519.3408485352
8575.5000000000 2504.5766074105
8575.7500000000 2503.8268627496
8576.0000000000 2509.7224228051
8576.2500000000 2514.8273210557
8576.5000000000 2504.2207271971
8576.7500000000 2482.6689124163
8577.0000000000 2476.9772882949
8577.2500000000 2479.4531342125
8577.5000000000 2479.3557458542
8577.7500000000 2484.9389910907
8578.0000000000 2496.8239140347
8578.2500000000 2500.7019015583
8578.5000000000 2480.7628114726
8578.7500000000 2458.8595741805
8579.0000000000 2464.9220590062
8579.2500000000 2489.8518296403
8579.5000000000 2507.0208473281
8579.7500000000 2518.3450796640
8580.0000000000 2523.5285707859
8580.2500000000 2524.5836873982
8580.5000000000 2518.8487243017
8580.7500000000 2513.4427034296
8581.0000000000 2507.8073972945
8581.2500000000 2503.1394896832
8581.5000000000 2502.9839307201
8581.7500000000 2512.5458290161
8582.0000000000 2521.3132152588
8582.2500000000 2524.8631996130
8582.5000000000 2524.5944699048
8582.7500000000 2526.9788245710
8583.0000000000 2527.3840945154
8583.2500000000 2527.3599675728
8583.5000000000 2524.0282077850
8583.7500000000 2508.5573128054
8584.0000000000 2462.5393211775
8584.2500000000 2360.0946764348
8584.5000000000 2245.9033865826
8584.7500000000 2250.5402251306
8585.0000000000 2362.2256025029
8585.2500000000 2445.6046477981
8585.5000000000 2475.3896896441
8585.7500000000 2492.1691353340
8586.0000000000 2508.4401736662
8586.2500000000 2511.6287420962
8586.5000000000 2502.8157271971
8586.7500000000 2475.6897141261
8587.0000000000 2439.4979455844
8587.2500000000 2434.8477484751
8587.5000000000 2464.5508923122
8587.7500000000 2497.1874251107
8588.0000000000 2516.2949452056
8588.2500000000 2521.7062475965
8588.5000000000 2520.6796443329
8588.7500000000 2515.4566054031
8589.0000000000 2510.9775877527
